Burhan,Aydın,5423557472,ev,Test ortamı icin adres detay No:109 giriliyor,35313
Ali,Veli,5555217474,evs,Test ortamı icin adres  blgisi giriliyor No:100,35312
Burhan,Aydin,5637234646,EVde,Test ortami icn adres detay bilgisi giriliyor No:105,35014
Fatıma,Ayşe,5423557472,Evimde,Test ortamı icin adres detay bilgisi No:109,35015
Kader,Sevda,5555217474,İSİMDE,Test ortamı icin ades detay bilgisi giryor No:110,35016
Emre,Ozturk,5555324531,EV ADRESIM,Test ortamı icin adres detay bili giriliyor No:150,35917
Ugur,Elif,5637234646,İŞTE,Test ortamı icin adres det bilgisi giriliyor No:108,33314
Fatıma,Ali,5423557472,Evimdeyken,Test ortamı  adres detay bilgisi giriliyor No:190,35715
Kader,Sevda,5555217474,isteki,Test icin adres detay bilgisi girilyor No:199,35616
Mahmut,Sevda,5555217474,istekis,Test icin adres detay bilgisi girilyor No:233,35616
